variable,t_stat,p.value,slope,pass,trend,group
APHAN_134,-15.20,5.60E-20,-2.10E-04,pass,neg,Filamentous-1
CYANO_106,-11.64,1.40E-15,-3.70E-04,pass,neg,Filamentous-1
CYANO_51_1,-8.28,8.40E-11,-2.60E-04,pass,neg,Filamentous-1
CYBIM_101,-19.03,5.30E-24,-7.90E-05,pass,neg,Cyanobium
CYBIM_104,-9.96,2.90E-13,-6.40E-05,pass,neg,Cyanobium
CYBIM_119,-7.67,6.90E-10,-4.10E-05,pass,neg,Solitary-1
CYBIM_119_1,-8.71,1.90E-11,-8.50E-05,pass,neg,Solitary-1
CYBIM_157,-4.99,8.40E-06,-2.80E-05,pass,neg,Cyanobium
CYBIM_190,-7.82,4.10E-10,-6.80E-05,pass,neg,Cyanobium
CYBIM_200,-1.62,0.11,-5.80E-06,fail,neg,Solitary-1
CYBIM_63,-16.57,1.70E-21,-1.10E-04,pass,neg,Cyanobium
CYBIM_73,-6.10,1.80E-07,-2.40E-05,pass,neg,Solitary-1
CYBIM_73_1,-8.39,5.70E-11,-6.00E-05,pass,neg,Cyanobium
CYBIM_80,-3.68,6.10E-04,-1.90E-04,pass,neg,Solitary-1
CYBIM_89,-1.13,0.26,-5.80E-06,fail,neg,Cyanobium
CYBIM_90,-4.69,2.30E-05,-2.30E-05,pass,neg,Cyanobium
DOLIS_187,-1.19,0.24,-8.20E-06,fail,neg,Filamentous-1
MCYST_2,-17.40,2.30E-22,-3.60E-04,pass,neg,Microcystis
MCYST_31,-19.20,3.70E-24,-4.00E-04,pass,neg,Microcystis
MCYST_56,-6.87,1.10E-08,-1.40E-04,pass,neg,Snowella
MCYST_62,-18.39,2.20E-23,-3.30E-04,pass,neg,Microcystis
NODOS_105,-18.98,5.90E-24,-1.60E-04,pass,neg,Nodosilinea
PSEUDA_13,-6.38,6.60E-08,-6.40E-05,pass,neg,Pseudanabaena
VULCA_120,-4.97,9.10E-06,-8.40E-05,pass,neg,Vulcanococcus
VULCA_20,-6.35,7.30E-08,-8.60E-05,pass,neg,Vulcanococcus
VULCA_28,-11.37,3.30E-15,-9.80E-05,pass,neg,Vulcanococcus