tax_abbr_name,mean,sd,5.x,250.x,group
APHAN_134,0.433,0.083,0.750,0.387,Filamentous-1
CYANO_106,0.206,0.162,0.743,0.144,Filamentous-1
CYANO_51_1,0.248,0.150,0.843,0.230,Filamentous-1
CYBIM_101,0.559,0.039,0.734,0.519,Cyanobium
CYBIM_104,0.581,0.060,0.795,0.581,Cyanobium
CYBIM_119,0.582,0.040,0.773,0.576,Solitary-1
CYBIM_119_1,0.425,0.042,0.632,0.406,Solitary-1
CYBIM_157,0.464,0.031,0.625,0.502,Cyanobium
CYBIM_190,0.436,0.039,0.589,0.455,Cyanobium
CYBIM_200,0.860,0.043,0.814,0.814,Solitary-1
CYBIM_63,0.578,0.091,0.767,0.390,Cyanobium
CYBIM_73,0.643,0.038,0.765,0.591,Solitary-1
CYBIM_73_1,0.553,0.024,0.664,0.561,Cyanobium
CYBIM_80,0.476,0.077,0.589,0.267,Solitary-1
CYBIM_89,0.700,0.024,0.805,0.696,Cyanobium
CYBIM_90,0.558,0.031,0.677,0.628,Cyanobium
DOLIS_187,0.775,0.057,0.834,0.874,Filamentous-1
MCYST_2,0.213,0.066,0.511,0.198,Microcystis
MCYST_31,0.239,0.070,0.513,0.180,Microcystis
MCYST_56,0.405,0.052,0.619,0.462,Snowella
MCYST_62,0.267,0.070,0.542,0.201,Microcystis
NODOS_105,0.462,0.067,0.756,0.415,Nodosilinea
PSEUDA_13,0.665,0.089,0.849,0.490,Pseudanabaena
VULCA_120,0.270,0.018,0.350,0.254,Vulcanococcus
VULCA_20,0.226,0.034,0.420,0.235,Vulcanococcus
VULCA_28,0.300,0.060,0.588,0.271,Vulcanococcus